#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-07T08:33:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56dd3cc3122a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/552/A16&tab:{J/A+A/552/A16/limb1-4}&key:source=J/A+A/552/A16/limb1-4&HTTPPRM:&
#-source=J/A+A/552/A16/limb1-4
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=Filt
#-out=Met
#-out=Mod
#-out=u
#-out=Merit
#Merit=Merit
#-out=a
#-out=b
#-out=c
#-out=d
#-out=e
#-out=f
#

#RESOURCE=yCat_35520016
#Name: J/A+A/552/A16
#Title: Limb-darkening for CoRoT, Kepler, Spitzer. II. (Claret+, 2013)
#Table	J_A_A_552_A16_limb1-4:
#Name: J/A+A/552/A16/limb1-4
#Title: 1- and 2-parameter limb-darkening coefficients for quasi-spherical PHOENIX models: quadratic {\em(a,b)}, root-square {\em(c,d)} and logarithmic {\em(e,f)}, (equations 2, 3 and 4)
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[5000/10000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[LF] Method (Least-Square or Flux Conservation)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs] quasi-spherical PHOENIX model	[ucd=stat.param;meta.modelled]
#Column	u	(F8.4)	Linear limb darkening coefficient u (G2)	[ucd=pos.distance]
#Column	Merit	(a5)	Corresponding figure of merit	[ucd=meta.ref.url]
#Column	a	(F8.4)	Quadratic limb darkening coefficient a (G2)	[ucd=phot.limbDark]
#Column	b	(F8.4)	Quadratic limb darkening coefficient b (G2)	[ucd=phot.limbDark]
#Column	c	(F8.4)	Root-square limb darkening coefficient c (G2)	[ucd=phot.limbDark]
#Column	d	(F8.4)	Root-square limb darkening coefficient d (G2)	[ucd=phot.limbDark]
#Column	e	(F8.4)	Logarithmic limb darkening coefficient e (G2)	[ucd=phot.limbDark]
#Column	f	(F8.4)	Logarithmic limb darkening coefficient f (G2)	[ucd=phot.limbDark]
logg|Teff|Z|xi|Filt|Met|Mod|u|Merit|a|b|c|d|e|f
[cm/s2]|K|[Sun]|km/s| | | | | | | | | | |
-----|------|----|----|--|-|--|--------|-----|--------|--------|--------|--------|--------|--------
 3.00|  5000| 0.0| 2.0|Kp|L|qs|  0.7041|Merit|  0.6087|  0.1414|  0.4204|  0.4361|  0.7855|  0.1571
 3.50|  5000| 0.0| 2.0|Kp|L|qs|  0.6932|Merit|  0.6165|  0.1139|  0.4703|  0.3429|  0.7579|  0.1246
 4.00|  5000| 0.0| 2.0|Kp|L|qs|  0.6869|Merit|  0.6119|  0.1114|  0.4741|  0.3275|  0.7493|  0.1201
 4.50|  5000| 0.0| 2.0|Kp|L|qs|  0.6861|Merit|  0.6147|  0.1061|  0.4852|  0.3092|  0.7453|  0.1138
 5.00|  5000| 0.0| 2.0|Kp|L|qs|  0.6834|Merit|  0.6067|  0.1141|  0.4701|  0.3284|  0.7466|  0.1214
 5.50|  5000| 0.0| 2.0|Kp|L|qs|  0.6712|Merit|  0.5841|  0.1296|  0.4289|  0.3732|  0.7431|  0.1379
 3.00|  5100| 0.0| 2.0|Kp|L|qs|  0.6964|Merit|  0.5957|  0.1492|  0.3973|  0.4597|  0.7822|  0.1656
 3.50|  5100| 0.0| 2.0|Kp|L|qs|  0.6825|Merit|  0.5949|  0.1300|  0.4307|  0.3873|  0.7558|  0.1413
 4.00|  5100| 0.0| 2.0|Kp|L|qs|  0.6773|Merit|  0.5959|  0.1209|  0.4465|  0.3551|  0.7450|  0.1303
 4.50|  5100| 0.0| 2.0|Kp|L|qs|  0.6759|Merit|  0.5971|  0.1172|  0.4544|  0.3411|  0.7413|  0.1255
 5.00|  5100| 0.0| 2.0|Kp|L|qs|  0.6728|Merit|  0.5869|  0.1279|  0.4340|  0.3677|  0.7436|  0.1359
 5.50|  5100| 0.0| 2.0|Kp|L|qs|  0.6614|Merit|  0.5654|  0.1429|  0.3943|  0.4113|  0.7406|  0.1520
 3.00|  5200| 0.0| 2.0|Kp|L|qs|  0.6891|Merit|  0.5843|  0.1554|  0.3781|  0.4780|  0.7784|  0.1723
 3.50|  5200| 0.0| 2.0|Kp|L|qs|  0.6742|Merit|  0.5819|  0.1370|  0.4094|  0.4073|  0.7514|  0.1487
 4.00|  5200| 0.0| 2.0|Kp|L|qs|  0.6681|Merit|  0.5811|  0.1293|  0.4217|  0.3791|  0.7404|  0.1392
 4.50|  5200| 0.0| 2.0|Kp|L|qs|  0.6662|Merit|  0.5808|  0.1269|  0.4263|  0.3692|  0.7369|  0.1359
 5.00|  5200| 0.0| 2.0|Kp|L|qs|  0.6625|Merit|  0.5682|  0.1403|  0.4007|  0.4031|  0.7401|  0.1491
